"last_name, first_name","player_id","year","pa","slg_percent","on_base_percent","b_game","woba","xwoba","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","hard_hit_percent","avg_best_speed","avg_hyper_speed","swing_percent"
"Mountcastle, Ryan",663624,2026,15,".357",".333","8",".314",".301","90","8.8",33.3,0,41.7,"103.053788333","95.526894167",63
"Acuña Jr., Ronald",660670,2026,113,".340",".345","25",".318",".396","88.3","17.1",34.7,10,44,"101.635693158","95.159462933",46.3
"Young, Cole",702284,2026,102,".344",".324","26",".308",".320","86.9","19.9",34.3,4,35.8,"98.13743","93.144367463",45.2
"Young, Jared",676724,2026,23,".450",".391","11",".371",".365","88.7","-2.6",22.2,3,50,"104.007562222","96.474591765",49.4
"Walls, Taylor",670764,2026,55,".229",".269","14",".237",".225","82.1","17.5",27,0,16.2,"93.715475625","90.88010875",43.1
"Soderstrom, Tyler",691016,2026,109,".396",".303","25",".309",".319","89.8","12.6",29.3,8,46.7,"102.026712632","95.275996133",47.7
"Bart, Joey",663698,2026,36,".281",".222","13",".230",".214","85.4","17.4",36.8,2,31.6,"96.351448","92.515601053",47.9
"Reynolds, Bryan",668804,2026,106,".414",".387","24",".359",".357","91.7","7.9",36.1,6,44.3,"102.15288","95.421814754",43.3
"Rocchio, Brayan",677587,2026,91,".423",".367","25",".359",".346","86.4","12.2",30.4,2,29,"97.476717879","92.754640606",47.4
"Conine, Griffin",665052,2026,25,".591",".360","11",".414",".513","90.1","6.4",56.3,4,62.5,"106.653525","98.354698125",48.9
"Ortiz, Joey",687401,2026,61,".185",".254","19",".214",".238","86.6","1.5",14.3,2,33.3,"97.141189","92.68574325",43.8
"Hoskins, Rhys",656555,2026,69,".351",".348","19",".326",".303","89","23.3",37.8,4,40.5,"99.377901579","93.99534",40.6
"Myers, Dane",667472,2026,38,".355",".395","22",".354",".524","88.8","22.5",52,4,36,"99.209071667","93.886515833",32.3
"Meidroth, Chase",805367,2026,98,".345",".337","22",".315",".319","88.9","7.2",29.9,3,40.3,"98.539810313","93.682777656",36
"Jeffers, Ryan",680777,2026,70,".439",".391","18",".372",".368","91.6","21.9",33.3,6,40,"102.354615217","95.523920889",37.3
"McLain, Matt",680574,2026,107,".256",".327","25",".284",".314","87","23.9",31.3,5,28.1,"96.759687813","92.559273175",42.8
"Contreras, Willson",575929,2026,97,".438",".392","23",".379",".392","91.7","17",31.5,8,44.4,"104.267918846","96.395788846",43.9
"Meyers, Jake",676694,2026,43,".378",".326","12",".318",".340","86.9","11.7",36.7,4,33.3,"97.108884","92.554442",53.3
"Fernandez, Jose",699912,2026,69,".433",".333","19",".342",".298","89.6","12.5",29.4,3,47.1,"102.356002","95.7162822",45.3
"Duran, Jarren",680776,2026,79,".306",".266","19",".263",".292","88.6","9.4",26,7,40,"102.315889167","95.214323542",49.1
"Arraez, Luis",650333,2026,98,".356",".330","23",".308",".297","85.5","13.9",31.5,0,18,"93.37748","90.743018391",48.4
"Castellanos, Nick",592206,2026,51,".208",".196","16",".178",".275","88.1","15.2",44.1,2,38.2,"98.806940588","93.751026471",58.9
"Escarra, J.C.",641555,2026,20,".316",".200","7",".227",".264","91.2","14.4",30.8,2,30.8,"100.338235714","94.643665385",44.6
"Murakami, Munetaka",808959,2026,104,".622",".404","24",".436",".444","96.4","16.3",35.3,13,66.7,"106.794658","99.5126272",38.8
"Nimmo, Brandon",607043,2026,110,".495",".364","24",".378",".363","90.5","11",36.8,9,47.4,"101.002733947","95.163405132",49.9
"Barger, Addison",680718,2026,23,".105",".174","8",".149",".231","90.7","17.8",21.4,0,50,"101.240872857","95.018167857",47.9
"Wetherholt, JJ",802139,2026,110,".345",".364","24",".333",".328","88.2","13.8",36.4,4,39.4,"98.450195152","93.418341692",42.6
"Freeman, Freddie",518692,2026,97,".506",".371","22",".388",".444","92.7","15.1",40.3,13,51.9,"102.178230769","95.778085455",51.8
"Stewart, Sal",701398,2026,108,".615",".389","25",".428",".432","91.1","12.9",40.5,17,49.3,"103.108654167","95.994633194",48.6
"Higgins, P.J.",664731,2026,12,".200",".250","5",".210",".302","79.5","21",57.1,0,0,"87.95324","89.247184286",34
"Raley, Luke",670042,2026,79,".583",".354","24",".408",".429","93.8","15.4",51.2,9,53.5,"104.575304286","96.879352619",54.4
"Nuñez, Nasim",683083,2026,84,".194",".280","22",".235",".266","84","7.5",31.6,0,19.3,"94.343587692","91.242507885",49.2
"Suzuki, Seiya",673548,2026,52,".442",".404","12",".386",".370","90.1","13.5",46.7,2,43.3,"101.359375333","94.877371667",40.3
"Freeman, Tyler",671289,2026,45,".282",".364","13",".310",".335","86.6","10.3",23.5,0,32.4,"96.404866471","92.37525",51.4
"Springer, George",543807,2026,62,".370",".290","14",".301",".289","88.9","22.6",25,4,42.5,"99.516342","93.81343225",51
"Fraley, Jake",641584,2026,53,".375",".302","17",".306",".296","86","25.1",45.7,3,25.7,"96.346911667","92.302261714",43.9
"Rafaela, Ceddanne",678882,2026,79,".357",".354","23",".330",".298","87.9","9.3",36.5,4,38.5,"98.241954","93.2472164",46.6
"Moncada, Yoán",660162,2026,85,".338",".341","22",".321",".298","90.7","13.7",27.5,3,42.5,"99.9465385","94.335789487",35.7
"Davis, Henry",680779,2026,57,".229",".286","19",".252",".251","88.2","15.4",21.1,2,31.6,"99.560376316","93.977385405",49.5
"Carroll, Corbin",682998,2026,92,".610",".413","22",".440",".393","90.6","10.9",38.9,7,40.7,"100.610899259","94.320189074",44.2
"Manzardo, Kyle",700932,2026,81,".250",".284","22",".256",".300","90","15.4",35.7,4,31,"98.061630476","93.297793415",47.6
"Marte, Starling",516782,2026,24,".304",".250","8",".252",".244","90.3","-3.9",18.8,2,37.5,"102.54805875","96.022236667",53.4
"Burleson, Alec",676475,2026,103,".444",".359","23",".356",".393","92.3","10.2",29.5,9,50,"101.933184872","95.7029",50.5
"Norby, Connor",681393,2026,85,".397",".341","22",".336",".298","88.2","16.8",32,4,38,"97.452368","93.0568914",46.7
"Ward, Taylor",621493,2026,119,".444",".395","25",".379",".372","90.2","17.1",40.7,5,39.5,"99.693112683","94.093978765",32.2
"Yoshida, Masataka",807799,2026,48,".368",".438","15",".380",".331","90.4","3.8",28.1,0,43.8,"99.51423875","94.252935313",34.1
"Buxton, Byron",621439,2026,100,".451",".290","22",".326",".306","87.9","25.4",32.8,10,45.3,"100.385111563","94.411159375",51
"Baty, Brett",683146,2026,72,".284",".236","21",".232",".252","90.5","6.4",29.8,4,36.2,"99.86083913","94.325057391",49.7
"Keaschall, Luke",807712,2026,101,".277",".257","24",".245",".276","85.1","18",30.9,3,25.9,"96.5253635","92.2646915",42.3
"Pham, Tommy",502054,2026,11,".000",".000","6",".000",".109","93.6","3.4",20,0,40,"100.563033333","95.53782",46.8
"Kemp, Otto",805249,2026,22,".100",".182","10",".148",".230","81.3","22.6",45.5,0,9.1,"89.879638333","89.846273636",47.5
